Title,Author,Publication Date,Pages,Genre,Rating,Summary,Converted
Uncommon Criminals,Ally Carter,"June 21, 2011",298 pages,"['Young Adult', 'Mystery', 'Contemporary']",4.13,"Katarina Bishop has worn a lot of labels in her short life. Friend. Niece. Daughter. Thief. But for the last two months she’s simply been known as the girl who ran the crew that robbed the greatest museum in the world. That’s why Kat isn’t surprised when she’s asked to steal the infamous Cleopatra Emerald so it can be returned to its rightful owners. There are only three problems. First, the gem hasn’t been seen in public in thirty years. Second, since the fall of the Egyptian empire and the suicide of Cleopatra, no one who holds the emerald keeps it for long, and in Kat’s world, history almost always repeats itself. But it’s the third problem that makes Kat’s crew the most nervous and that is simply… the emerald is cursed.Kat might be in way over her head, but she’s not going down without a fight. After all she has her best friend—the gorgeous Hale—and the rest of her crew with her as they chase the Cleopatra around the globe, dodging curses, realizing that the same tricks and cons her family has used for centuries are useless this time.Which means, this time, Katarina Bishop is making up her own rules.",0
Relics,Maer Wilson,"April 29, 2013",294 pages,"['Urban Fantasy', 'Paranormal', 'Fantasy']",4.32,"Most of Thulu and La Fi's clients are dead. Which is perfect since their detective agency caters to the supernatural. But a simple job finding a lost locket leads to a big case tracking relics for an ancient daemon.The daemon needs the relics to keep a dangerous portal closed. His enemy, Gabriel, wants the relics to open the portal and give his people access to a new feeding ground – Earth.Caught on live TV, other portals begin to open and the creatures of magic return to Earth. The people of Earth are not alone, but will soon wish they were.When Gabriel threatens their family, Thulu and La Fi's search becomes personal. The couple will need powerful help in the race to find the relics before Gabriel does. But maybe that's what ghostly friends, magical allies and daemonic clients are for.When the creatures of myth and magic return to Earth, they're nothing like your mother's fairy tales.",0
Chasing Women,Ki Longfellow,"January 1, 1995",336 pages,['Historical Fiction'],4.28,"Explores the myths about ""a woman in a man's world"" - the 1920s world of Madison Square Garden, boxing, mayhem and mafia. Teddy is a lone woman in this world. Jack and Teddy risk life, limb and their love as they strive for the front page, the sports page is no longer enough for Teddy.",0
Eona: The Last Dragoneye,Alison Goodman,"April 19, 2011",637 pages,"['Fantasy', 'Young Adult', 'Dragons']",4.11,"Eon has been revealed as Eona, the first female Dragoneye in hundreds of years. Along with fellow rebels Ryko and Lady Dela, she is on the run from High Lord Sethon's army. The renegades are on a quest for the black folio, stolen by the drug-riddled Dillon; they must also find Kygo, the young Pearl Emperor, who needs Eona's power and the black folio if he is to wrest back his throne from the selfstyled ""Emperor"" Sethon. Through it all, Eona must come to terms with her new Dragoneye identity and power - and learn to bear the anguish of the ten dragons whose Dragoneyes were murdered. As they focus their power through her, she becomes a dangerous conduit for their plans. . . .Eona, with its pulse-pounding drama and romance, its unforgettable fight scenes, and its surprises, is the conclusion to an epic story only Alison Goodman can create..",0
Radiant Shadows,Melissa Marr,"April 24, 2010",340 pages,"['Fantasy', 'Young Adult', 'Paranormal']",3.97,"Alluring romance, heart-stopping danger, and sinister intrigue combine in the penultimate volume of Melissa Marr's #1 New York Times  bestselling Wicked Lovely series. Half-human and half-faery, Ani is driven by her hungers. Those same appetites also attract powerful enemies and uncertain allies, including Devlin. He was created as an assassin and is brother to the faeries' coolly logical High Queen and to her chaotic twin, the embodiment of War. Devlin wants to keep Ani safe from his sisters, knowing that if he fails, he will be the instrument of Ani's death. Ani isn't one to be guarded while others fight battles for her, though. She has the courage to protect herself and the ability to alter Devlin's plans—and his life. The two are drawn together, each with reason to fear the other and to fear  for  one another. But as they grow closer, a larger threat imperils the whole of Faerie. Will saving the faery realm mean losing each other?",0
Half Magic,Edward Eager,"January 1, 1954",192 pages,"['Fantasy', 'Childrens', 'Fiction']",3.95,"Four children wish on a Half Magic coin that gets their mother Alison half-way home, rescued by Mr Smith. Mark's wish zaps them to a desert without island, where half-talking cat Carrie gabbles to a camel. Romantic Katherine battles Launcelot. Eldest Jane rejects siblings for another family. Stubborn youngest, Martha, causes a riot downtown.",0
Beautiful Bastard,Christina Lauren,"February 12, 2013",271 pages,"['Romance', 'Contemporary', 'Contemporary Romance']",3.91,"An ambitious intern. A perfectionist executive. And a whole lot of name calling.Whip-smart, hardworking, and on her way to an MBA, Chloe Mills has only one problem: her boss, Bennett Ryan. He's exacting, blunt, inconsiderate—and completely irresistible. A Beautiful Bastard.Bennett has returned to Chicago from France to take a vital role in his family's massive media business. He never expected that the assistant who'd been helping him from abroad was the gorgeous, innocently provocative—completely infuriating—creature he now has to see every day. Despite the rumors, he's never been one for a workplace hookup. But Chloe's so tempting he's willing to bend the rules—or outright smash them—if it means he can have her. All over the office. As their appetites for one another increase to a breaking point, Bennett and Chloe must decide exactly what they're willing to lose in order to win each other. Originally only available online as The Office by tby789 — and garnering over 2 million reads on fanfiction sites — Beautiful Bastard has been extensively updated for re-release.",0
Silk Road,Colin Falconer,"January 1, 2000",455 pages,"['Historical Fiction', 'Fiction', 'Historical']",4.26,"Silk Road weaves a spellbinding tale of courage, danger and human frailty onto the vast tapestry of the medieval Orient.The Holy Land, 1260: Josseran Sarrazini is a Templar Knight, trained for war. But as the Christian garrisons in the Holy Land begin to fall to the Saracen, he must embark upon a mission of peace: to the golden palaces at Xanadu, to seek an alliance with Kublai Khan, ruler of the greatest empire in history and commander of the invincible Mongol horde.Josseran’s task is formidable. To ride the treacherous Silk Road to the edge of the known world. To cheat hunger, thirst, and death. And to forge a crucial allegiance with a people who do not honor his cause, or his God.From the Storehouse of Winds to the Palace of Myriad Tranquillities, from the Pamirs and Hindu Kush to the legendary Xanadu and the dazzling court of Kublai Khan, this is adventure on a breath-taking scale.",0
Blood in the Skies,G.D. Falksen,"July 1, 2011",266 pages,"['Steampunk', 'Fantasy', 'Science Fiction']",3.71,"G.D. Falksen's steampunk epic launches with Blood In The Skies.In 1908, the world ended in fire.Humanity, always bad at following orders, refused to die. Now, two hundred years later, what remains is divided between civilized order and lawless frontier. For the citizens of the Commonwealth, the brave pilots of the Air Force are all that stand between them and the dreaded pirate lords of the Badlands. For generations, the two forces have struggled back and forth in an endless cycle of invasion and reprisal. Now that is about to change, and flying ace Elizabeth Steele is about to find herself dragged into a web of intrigue aimed at the downfall of the civilized world. Nothing that a clever girl with a trusty aeroplane and a charming spy at her side can't handle.""This is steampunk clanking to life on the page."" --Jay Lake ""G. D. Falksen's witty, anachronistic, and downright fun writing style makes him a storyteller to watch."" --Terrance Zdunich (REPO! The Genetic Opera) ""A piston blast of pure pulp adventure"" --John Leavitt (Dr. Sketchy's Official Rainy Day Colouring Book) ""A rousing adventure filled with a wealth of imagery, action and technological wonders."" --Chet Phillips ""G.D. Falksen is not only one of the most important authors in Steampunk literature, he is arguably the most enjoyable."" --Art Donovan (The Art of Steampunk) ""A delightfully crunchy alternate reality that lets you feel the gears grinding."" --Phil Foglio (Girl Genius)",0
Judgment Prey,John Sandford,"October 3, 2023",352 pages,"['Mystery', 'Thriller', 'Fiction']",4.36,"Lucas Davenport and Virgil Flowers team up to crack an unsolvable case in this thrilling new novel by John Sandford.Alex Sand was spending the evening at home playing basketball with his two young sons when all three were shot in cold blood. A wealthy federal judge, there’s no short list of people who could have a vendetta against Sands, but the gruesome murders, especially that of his children, turn their St. Paul community on its head. Sand was on the verge of a major donation to a local housing charity, Heart/Twin Cities, and with the money in limbo, eyes suddenly turn to his grieving widow, Margaret Cooper, to see what she might do with the money. Margaret, distraught over the death of her family, struggles to move forward, and can’t imagine how or why anyone would target her husband.With public pressure mounting and both the local police force and FBI hitting dead end after dead end, Lucas Davenport and Virgil Flowers are called in to do what others could not: find answers. With each potential lead flawed, Davenport and Flowers are determined to chase every theory until they figure out who killed the Sands. But when they find themselves being stonewalled by the most unlikely of forces, the two wonder if perhaps each misdirection could lead them closer to the truth.",0
Digital Fortress,Dan    Brown,"February 1, 1998",510 pages,"['Fiction', 'Thriller', 'Mystery']",3.7,"This an alternate cover for 9780552151696 When the NSA's invincible code-breaking machine encounters a mysterious code it cannot break, the agency calls its head cryptographer, Susan Fletcher, a brilliant and beautiful mathematician. What she uncovers sends shock waves through the corridors of power. The NSA is being held hostage...not by guns or bombs, but by a code so ingeniously complex that if released it would cripple U.S. intelligence.Caught in an accelerating tempest of secrecy and lies, Susan Fletcher battles to save the agency she believes in. Betrayed on all sides, she finds herself fighting not only for her country but for her life, and in the end, for the life of the man she loves.From the underground hallways of power to the skyscrapers of Tokyo to the towering cathedrals of Spain, a desperate race unfolds. It is a battle for survival--a crucial bid to destroy a creation of inconceivable genius...an impregnable code-writing formula that threatens to obliterate the post-cold war balance of power. Forever.",0
What Happened to Goodbye,Sarah Dessen,"May 10, 2011",402 pages,"['Young Adult', 'Romance', 'Contemporary']",3.94,"Who is the real McLean?   Since her parents' bitter divorce, McLean and her dad, a restaurant consultant, have been on the move-four towns in two years. Estranged from her mother and her mother's new family, McLean has followed her dad in leaving the unhappy past behind. And each new place gives her a chance to try out a new persona: from cheerleader to drama diva. But now, for the first time, McLean discovers a desire to stay in one place and just be herself, whoever that is. Perhaps Dave, the guy next door, can help her find out.  Combining Sarah Dessen's trademark graceful writing, great characters, and compelling storytelling, What Happened to Goodbye is irresistible reading.",0
Wildwood Dancing,Juliet Marillier,"July 1, 2006",407 pages,"['Fantasy', 'Young Adult', 'Romance']",4.1,"High in the Transylvanian woods, at the castle Piscul Draculi, live five daughters and their doting father. It's an idyllic life for Jena, the second eldest, who spends her time exploring the mysterious forest with her constant companion, a most unusual frog. But best by far is the castle's hidden portal, known only to the sisters. Every Full Moon, they alone can pass through it into the enchanted world of the Other Kingdom. There they dance through the night with the fey creatures of this magical realm. But their peace is shattered when Father falls ill and must go to the southern parts to recover, for that is when cousin Cezar arrives. Though he's there to help the girls survive the brutal winter, Jena suspects he has darker motives in store. Meanwhile, Jena's sister has fallen in love with a dangerous creature of the Other Kingdom--an impossible union it's up to Jena to stop.When Cezar's grip of power begins to tighten, at stake is everything Jena loves: her home, her family, and the Other Kingdom she has come to cherish. To save her world, Jena will be tested in ways she can't imagine--tests of trust, strength, and true love.",0
Magician,Raymond E. Feist,"October 1, 1982",681 pages,"['Fantasy', 'Fiction', 'Epic Fantasy']",4.32,"Raymond E. Feist's classic fantasy epic, Magician, has enchanted readers for over twenty years. The revised edition was prepared to celebrate the tenth anniversary of its publication, and incorporates over 15,000 words of text omitted from previous editions.At Crydee, a frontier outpost in the tranquil Kingdom of the Isles, an orphan boy, Pug, is apprenticed to a master magician – and the destinies of two worlds are changed forever.Suddenly the peace of the Kingdom is destroyed as mysterious alien invaders swarm the land. Pug is swept up into the conflict but for him and his warrior friend, Tomas, an odyssey into the unknown has only just begun.Tomas will inherit a legacy of savage power from an ancient civilization. Pug’s destiny is to lead him through a rift in the fabric of space and time to the mastery of the unimaginable powers of a strange new magic.",0
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"April 28, 1985",351 pages,"['Fiction', 'Historical Fiction', 'Westerns']",4.16,"Blood Meridian is an epic novel of the violence and depravity that attended America's westward expansion, brilliantly subverting the conventions of the Western novel and the mythology of the Wild West. Based on historical events that took place on the Texas-Mexico border in the 1850s, it traces the fortunes of the Kid, a fourteen-year-old Tennesseean who stumbles into a nightmarish world where Indians are being murdered and the market for their scalps is thriving.",0
Coming Storm,David J Morden,"Published May 17, 2017",208 pages,"['Fiction', 'Young Adult', 'Fantasy']",4.25,"In a long forgotten time a terrible war raged, entire countries were razed and even magic itself was decimated. According to myth the only survivors were Immortals, powerful sorcerers who achieved life everlasting. With the fall of the old world they scattered to the wild frontiers, or so the tale goes. Time marches on however and with magic barely an echo of its former self, technology presses on. The rising nation of The Syndicate is at the forefront making breakthrough after breakthrough in a handful of years. Establishing bases in the far flung frontier regions they have started a new endeavour of research into the ancient world, heedless of cost or consequence. As The Syndicate pushes deeper into the wilderness spurred on by ambition, mysterious deaths follow. Is this just the dangers of the wild, the resistance of the local tribes, or something else awoken by this intrusion?",0
Vicious,Victoria E. Schwab,"September 24, 2013",402 pages,"['Fantasy', 'Science Fiction', 'Fiction']",4.2,"A masterful tale of ambition, jealousy, desire, and superpowers.Victor and Eli started out as college roommates—brilliant, arrogant, lonely boys who recognized the same sharpness and ambition in each other. In their senior year, a shared research interest in adrenaline, near-death experiences, and seemingly supernatural events reveals an intriguing possibility: that under the right conditions, someone could develop extraordinary abilities. But when their thesis moves from the academic to the experimental, things go horribly wrong.Ten years later, Victor breaks out of prison, determined to catch up to his old friend (now foe), aided by a young girl whose reserved nature obscures a stunning ability. Meanwhile, Eli is on a mission to eradicate every other super-powered person that he can find—aside from his sidekick, an enigmatic woman with an unbreakable will. Armed with terrible power on both sides, driven by the memory of betrayal and loss, the archnemeses have set a course for revenge—but who will be left alive at the end?In Vicious, V. E. Schwab brings to life a gritty comic-book-style world in vivid prose: a world where gaining superpowers doesn't automatically lead to heroism, and a time when allegiances are called into question.",0
Airborn,Kenneth Oppel,"May 11, 2004",501 pages,"['Fantasy', 'Young Adult', 'Steampunk']",4.18,"Matt Cruse is a cabin boy on the Aurora, a huge airship that sails hundreds of feet above the ocean, ferrying wealthy passengers from city to city. It is the life Matt's always wanted; convinced he's lighter than air, he imagines himself as buoyant as the hydrium gas that powers his ship. One night he meets a dying balloonist who speaks of beautiful creatures drifting through the skies. It is only after Matt meets the balloonist's granddaughter that he realizes that the man's ravings may, in fact, have been true, and that the creatures are completely real and utterly mysterious.In a swashbuckling adventure reminiscent of Jules Verne and Robert Louis Stevenson, Kenneth Oppel, author of the best-selling Silverwing trilogy, creates an imagined world in which the air is populated by transcontinental voyagers, pirates, and beings never before dreamed of by the humans who sail the skies.",0
Blue is for Nightmares,Laurie Faria Stolarz,"November 8, 2003",284 pages,"['Young Adult', 'Fantasy', 'Paranormal']",3.82,"I know your secret...Stacey's junior year at boarding school isn't easy. She's not the most popular girl at school, or the smartest, or the prettiest. She's got a crush on her best friend's boyfriend, and an even darker secret that threatens to ruin her friendships for good. And now she's having nightmares again. Not just any nightmares – these dreams are too real to ignore, like she did three years ago. The last time she ignored them, a little girl died. This time they're about Drea, her best friend who's become the target of one seriously psycho stalker. It started with weird e-mails and freaky phone calls. Now someone's leaving Drea white lilies – the same death lilies that have been showing up in Stacey's dreams. Everybody thinks it's just a twisted game . . . until another girl at school is brutally murdered. There are no witnesses. Worst of all, no one has a perfect alibi. With everyone as a potential suspect, Stacey turns to the one secret weapon she can trust – the folk magic taught to her by her grandmother. Will Stacey's magic be strong enough to expose the true killer, or will the killer make her darkest nightmares come true?In this Deluxe Spellbook Edition you'll find:Spells created by You and other keepers of secrets-poems, spells and meditations contributed by fans of this popular series. Extras also include an interview with the author.",0
House Rules,Jodi Picoult,"March 2, 2010",532 pages,"['Fiction', 'Mystery', 'Contemporary']",4.04,"When your son can't look you in the eye...does that mean he's guilty?
Jacob Hunt is a teen with Asperger's syndrome. He's hopeless at reading social cues or expressing himself well to others, though he is brilliant in many ways. But he has a special focus on one subject - forensic analysis. A police scanner in his room clues him in to crime scenes, and he's always showing up and telling the cops what to do. And he's usually right.But when Jacob's small hometown is rocked by a terrible murder, law enforcement comes to him. Jacob's behaviors are hallmark Asperger's, but they look a lot like guilt to the local police. Suddenly the Hunt family, who only want to fit in, are directly in the spotlight. For Jacob's mother, Emma, it's a brutal reminder of the intolerance and misunderstanding that always threaten her family. For his brother, Theo, it's another indication why nothing is normal because of Jacob.And over this small family, the soul-searing question looms: 
Did Jacob commit murder?",0
Lips of a Mastodon,Ted Bernal Guevara,"September 30, 2015",226 pages,"['Fiction', 'Drama', 'Psychological Thriller']",3.57,"(BACK COVER)Why does Ted Bernal Guevara keep putting out these James Dean conceptual novels? In plain truth, Guevara says, “He’s like a kid (James Dean) I went to class with, rode the bus with, and slid down an awesome snow-packed hill with.” And after high school, he goes on to Hollywood fame and immortality while Guevara from his modest bookish world is left to wonder about the iconic image, giving it a stark, poignant voice sixty years later. Guevara grew up in Marion, Indiana, where the actor was born. In 1954, Dean met perhaps the one real romance in his brief life. Italian actress Pier Angeli was barely 22 when her movie The Silver Chalice coincided with Dean’s East of Eden at Warner Brothers. She’d sneak over to watch him perform, and he would do the same. When they finally interact, Pier’s mother disapproves of Dean’s behavior, attire, and not being Catholic.Some say it was all for the limelight and publicity. Guevara’s gripping and frank story vies otherwise, excavating the actor’s true passion for the lovely but quaint Ms. Angeli.Guevara is also the author of True Feel, A Circle with Two Corners, and Days of Slint, the first James Dean conceptual novel.",0
Win,Harlan Coben,"March 16, 2021",375 pages,"['Mystery', 'Thriller', 'Fiction']",4.09,"The new novel from Harlan Coben, #1 New York Times bestselling author and creator of The Stranger on Netflix. From a #1 New York Times bestselling author comes this thrilling story that shows what happens when a dead man's secrets fall into the hands of vigilante antihero—drawing him down a dangerous road.Over twenty years ago, the heiress Patricia Lockwood was abducted during a robbery of her family's estate, then locked inside an isolated cabin for months. Patricia escaped, but so did her captors — and the items stolen from her family were never recovered. Until now. On the Upper West Side, a recluse is found murdered in his penthouse apartment, alongside two objects of note: a stolen Vermeer painting and a leather suitcase bearing the initials WHL3. For the first time in years, the authorities have a lead — not only on Patricia's kidnapping, but also on another FBI cold case — with the suitcase and painting both pointing them toward one man.Windsor Horne Lockwood III — or Win, as his few friends call him — doesn't know how his suitcase and his family's stolen painting ended up with a dead man. But his interest is piqued, especially when the FBI tells him that the man who kidnapped his cousin was also behind an act of domestic terrorism — and that the conspirators may still be at large. The two cases have baffled the FBI for decades, but Win has three things the FBI doesn't: a personal connection to the case; an ungodly fortune; and his own unique brand of justice.",0
Storm Glass,Maria V. Snyder,"May 1, 2009",488 pages,"['Fantasy', 'Young Adult', 'Magic']",3.96,"Award-winning author Maria V. Snyder brings readers into a world of molten magic, where storms can be captured within a glass orb and a magician's powers can remain hidden…until challenged by enemy forces. As a glassmaker and a magician-in-training, Opal Cowan understands trial by fire. Someone has sabotaged the Stormdancer clan's glass orbs, killing their most powerful magicians. The Stormdancers—particularly the mysterious and mercurial Kade—require Opal's unique talents to prevent it from happening again. But when the mission goes awry, Opal must tap into a new kind of magic. Yet the further she delves into the intrigue behind the glass and magic, the more distorted things appear. With lives hanging in the balance—including her own—Opal must control her powers…powers that could lead to disaster beyond anything she's ever known.",0
Fractal Noise,Christopher Paolini,"May 16, 2023",286 pages,"['Science Fiction', 'Fiction', 'Audiobook']",3.44,"July 25th, 2234: The crew of the Adamura discovers the Anomaly.On the seemingly uninhabited planet Talos VII:a circular pit, 50 kilometers wide.Its curve not of nature, but design.Now, a small team must land and journey on foot across the surface to learn who built the hole and why.But they all carry the burdens of lives carved out on disparate colonies in the cruel cold of space.For some the mission is the dream of the lifetime, for others a risk not worth taking, and for one it is a desperate attempt to find meaning in an uncaring universe.Each step they take toward the mysterious abyss is more punishing than the last.And the ghosts of their past follow.",0
Code Name Verity,Elizabeth Wein,"February 6, 2012",452 pages,"['Historical Fiction', 'Young Adult', 'Fiction']",4.01,"Oct. 11th, 1943 - A British spy plane crashes in Nazi-occupied France. Its pilot and passenger are best friends. One of the girls has a chance at survival. The other has lost the game before it's barely begun. When ""Verity"" is arrested by the Gestapo, she's sure she doesn't stand a chance. As a secret agent captured in enemy territory, she's living a spy's worst nightmare. Her Nazi interrogators give her a simple choice: reveal her mission or face a grisly execution. As she intricately weaves her confession, Verity uncovers her past, how she became friends with the pilot Maddie, and why she left Maddie in the wrecked fuselage of their plane. On each new scrap of paper, Verity battles for her life, confronting her views on courage and failure and her desperate hope to make it home. But will trading her secrets be enough to save her from the enemy? Harrowing and beautifully written, Elizabeth Wein creates a visceral read of danger, resolve, and survival that shows just how far true friends will go to save each other. Code Name Verity is an outstanding novel that will stick with you long after the last page.",0
Juliet,Anne Fortier,"January 1, 2010",447 pages,"['Historical Fiction', 'Romance', 'Fiction']",3.92,"Juliet, an ambitious, utterly engaging historical novel on the scale of The Thirteenth Tale and The Birth of Venus, follows a young woman who discovers that her family’s origins reach all the way back to literature’s greatest star-crossed lovers.Twenty-five-year-old Julie Jacobs is heartbroken over the death of her beloved aunt Rose. But the shock goes even deeper when she learns that the woman who has been like a mother to her has left her entire estate to Julie’s twin sister. The only thing Julie receives is a key—one carried by her mother on the day she herself died—to a safety-deposit box in Siena, Italy. This key sends Julie on a journey that will change her life forever—a journey into the troubled past of her ancestor Giulietta Tolomei. In 1340, still reeling from the slaughter of her parents, Giulietta was smuggled into Siena, where she met a young man named Romeo. Their ill-fated love turned medieval Siena upside-down and went on to inspire generations of poets and artists, the story reaching its pinnacle in Shakespeare’s famous tragedy. But six centuries have a way of catching up to the present, and Julie gradually begins to discover that here, in this ancient city, the past and present are hard to tell apart. The deeper she delves into the history of Romeo and Giulietta, and the closer she gets to the treasure they allegedly left behind, the greater the danger surrounding her—superstitions, ancient hostilities, and personal vendettas. As Julie crosses paths with the descendants of the families involved in the unforgettable blood feud, she begins to fear that the notorious curse—“A plague on both your houses!”—is still at work, and that she is destined to be its next target. Only someone like Romeo, it seems, could save her from this dreaded fate, but his story ended long ago. Or did it? From Anne Fortier comes a sweeping, beautifully written novel of intrigue and identity, of love and legacy, as a young woman discovers that her own fate is irrevocably tied—for better or worse—to literature’s greatest star-crossed lovers.",0
Reckless,S.C. Stephens,"March 5, 2013",546 pages,"['Romance', 'New Adult', 'Contemporary Romance']",4.4,"Can love survive when life gets Reckless?When the band hits it big, Kiera and Kellan must ask themselves: Can their love for each other survive the constant pressures of superstardom? The friendships they've formed, the new family they've found, and the history they've forged will all play a part in helping them navigate the turbulent waters of the band's exploding popularity. A greedy executive hell-bent on success, a declining pop star looking for an edge, and a media circus that twists lies into truths are just some of the obstacles the lovers will have to overcome if they are going to remain together. Fame comes with a price-but will it cost Kiera and Kellan everything?",0
The Dragon Queen,William  Andrews,"March 6, 2018",322 pages,"['Historical Fiction', 'Fiction', 'Historical']",4.25,"From the bestselling author of Daughters of the Dragon comes the story of one of the most extraordinary queens in history.As tensions rise on the Korean peninsula, US diplomat Nate Simon is sent to Seoul to gauge the political situation and advise the president. He also needs to find out why someone sent the president an ancient, intricately carved comb with an ivory inlay of a two-headed dragon. Though familiar with Korea’s language and culture, Nate knows little of its troubled history. Beautiful and mysterious embassy aide Anna Carlson believes it’s time he learns, starting with the extraordinary story of Korea’s last queen.Seoul, 1866. The beautiful orphan Ja-young is chosen to be the child bride of Gojong, Korea’s boy king. Highly intelligent but shy, Ja-young faces a choice: she can be a stone queen—silent and submissive—or she can be a dragon queen and oppose enemies and empires that try to rule Korea during the age of imperialism. Her choice leads her to forge a legend that will endure far beyond her lifetime.The more Nate discovers, the more he comes to realize that Queen Min’s story is still relevant today. Now the choice is up to him: be submissive and accepting…or change the world.",0
Angel,James           Patterson,"February 14, 2011",298 pages,"['Young Adult', 'Fantasy', 'Science Fiction']",4.0,"In the seventh book in the bestselling series, evil scientists are still trying to convince Max that she needs to save the world, this time by providing the genetic link in speeding up the pace of evolution. Worse, they're trying to convince her that her perfect mate is Dylan, the newest addition to the flock. The problem is that, despite herself, Max is starting to believe it. Fang travels the country collecting his own gang of evolved humans, but the two separate flocks must unite to defeat a frightening doomsday cult whose motto is Save the Planet: Kill the Humans. And this time, the true heroine, for once, might just be little Angel.",0
Ice in My Veins,Kelli Sullivan,"November 24, 2010",272 pages,"['Young Adult', 'Romance', 'Sports']",3.86,"When a 16 year old, small town girl, Christine Matthews, from Dryden, Michigan gets a shot at playing semi- professional hockey on a boys hockey team she jumps at the opportunity.Follow her ups and downs as she tackles some of lives hardships, surprises, and victories as she reaches out to catch her dreams. Journey with her as she struggles through some of life's tough situations, as well as love and loss.Her story is inspirational to people every where who feel their dreams are unreachable. Christine wants one thing in her life, hockey. Nothing would ever mean more to her than that. She had worked so hard for it without the support of her friends and family. When she meets Alex her world starts to change. Why was she so enticed by this boy. She had to stop thinking about how gorgeous he was. He would be running for the exits as soon as he found out what she was doing there. She noticed that her palms were starting to sweat, she wiped them on her jeans, before he noticed. She wanted to hate him. She couldn't have these type of distractions around her. She needed to be focused on the prize.Then there was Moose. What would she do without him? This couldn't be happening right now, not to her. She still had her stalker to deal with. The hatred he had for her, in those deep black coal eyes. Was her life about to spiral out of control?",0
The Sparrow,Mary Doria Russell,"September 9, 1996",419 pages,"['Science Fiction', 'Fiction', 'Fantasy']",4.14,"In 2019, humanity finally finds proof of extraterrestrial life when a listening post in Puerto Rico picks up exquisite singing from a planet that will come to be known as Rakhat. While United Nations diplomats endlessly debate a possible first contact mission, the Society of Jesus quietly organizes an eight-person scientific expedition of its own. What the Jesuits find is a world so beyond comprehension that it will lead them to question what it means to be ""human"".",0
Sidewinder,L.T. Ryan,"April 30, 2024",217 pages,"['Mystery Thriller', 'Adventure', 'Fiction']",4.5,"In a shadowy world where covert operations and secret agendas rule, a top-tier team of private contractors vanishes. They leave behind a chilling trail of breadcrumbs that point to a cache of advanced, portable missiles gone rogue.Rachel Hatch, a warrior with a steel spine and a heart of grit, is called upon to find the lost operatives. As she peels back layers of deception, she realizes that the stakes are far higher than anyone could have guessed. Lives hang precariously in the balance, and a malevolent organization emerges from the shadows, hungry for the lethal firepower.With every tick of the clock, Hatch races to outmaneuver her relentless adversaries. When an innocent family is dragged into the whirlwind of chaos, Hatch senses a connection. To expose it, she must shield them from a deranged mastermind who shows no mercy.She is a woman caught between duty and danger, ethics and survival. A treacherous conspiracy webs around her, and with every step, the truth seems to slip further away.Her father’s creed, to put others' lives above her own, is the compass guiding her every move. But in this deadly game, her unwavering loyalty could become her downfall.Beneath the sweeping sands of the southwest, a vicious enemy waits, ready to strike when least expected.SIDEWINDER is a pulse-pounding thriller that will grip Rachel Hatch's fans to the very last page. In this nerve-fraying adventure, Hatch is pushed to the edge, testing the very limits of her endurance. With each twist and turn, prepare to question everything you thought you knew about bravery, loyalty, and sacrifice.",0
Carnal: Somewhere Over 40 Winks,Rom LcO'Feer,"January 1, 2009",222 pages,"['Psychology', 'Contemporary', 'Fiction']",3.54,"Have you heard of a place called Mong where the dream world intersects with the real world? At Mong, rules are easily bent and intuition often overwhelms logic. Desires go out of control and wishes come true in wrong ways. Once captured, monsters and villains from Mong are sent to the prison of Nightmare. A hideous serial killer manages to break out of the jail into the real world, terrifying the earthlings. A reporter from an obscure magazine company hunts the killer doggedly. Or is it the other way around? He has to find the clues about the killer before his girlfriend becomes the next victim. Time is dashing forward. In desperation, the reporter decides to cross the border of no return and climbs down into Mong. Little did he know what's waiting for him at that murky place.",0
The Sweetness at the Bottom of the Pie,Alan Bradley,"April 28, 2009",386 pages,"['Mystery', 'Fiction', 'Historical Fiction']",3.82,"To Flavia the investigation is the stuff of full of possibilities, contradictions, and connections. Soon her father, a man raising his three daughters alone, is seized, accused of murder. And in a police cell, during a violent thunderstorm, Colonel de Luce tells his daughter an astounding story—of a schoolboy friendship turned ugly, of a priceless object that vanished in a bizarre and brazen act of thievery, of a Latin teacher who flung himself to his death from the school’s tower thirty years before. Now Flavia is armed with more than enough knowledge to tie two distant deaths together, to examine new suspects, and begin a search that will lead her all the way to the King of England himself. Of this much the girl is certain: her father is innocent of murder—but protecting her and her sisters from something even worse...",0
Dream Caster,Najeev Nadarajah,"September 3, 2012",362 pages,"['Fantasy', 'Young Adult', 'Science Fiction']",4.21,"Weaver, a young man who longs for a different life, is forced to flee his refugee settlement when everyone in it is massacred. In his flight for safety, Weaver stumbles upon a refuge of survivors hidden among the remains of a ruined city once known as Toronto. In the midst of building a new life, Weaver discovers he can do something strange: cast dreams into reality. Convinced it’s just an anomaly, he ignores it. That is until he learns of the mysterious man who waged war against his world — a man who calls himself the Dream Eater and harnesses the ability to animate nightmares into existence. The peaceful life Weaver hoped for begins to unravel when those of his new home are besieged by the Dream Eater and their lives placed in jeopardy. Weaver must learn to master his accursed ability before his new home is eradicated by the Dream Eater and human existence is pushed to the brink of extinction.",0
